State,County,City,Neighborhood,Nextdoor ID,Attribute,Position
CA,Santa Clara,San Jose,Almaden Villas,170213,Safe,3
CA,Santa Clara,San Jose,Almaden Villas,170213,Atmosphere,4
CA,Santa Clara,San Jose,Almaden Villas,170213,Birds,5
CA,Santa Clara,San Jose,Almaden Villas,170213,Clean,6
CA,Santa Clara,San Jose,Almaden Villas,170213,Trees,7
CA,Santa Clara,San Jose,Almaden Villas,170213,Well Maintained,8
CA,Santa Clara,San Jose,Almaden Villas,170213,Charm,9
CA,Santa Clara,San Jose,Almaden Winery,1673,Family Friendly,0
CA,Santa Clara,San Jose,Almaden Winery,1673,Well Maintained,1
CA,Santa Clara,San Jose,Almaden Winery,1673,Dog Friendly,2
CA,Santa Clara,San Jose,Almaden Winery,1673,Peaceful,3
CA,Santa Clara,San Jose,Almaden Winery,1673,Quiet,4
CA,Santa Clara,San Jose,Almaden Winery,1673,Clean,5
CA,Santa Clara,San Jose,Almaden Winery,1673,Neighbors,6
CA,Santa Clara,San Jose,Almaden Winery,1673,Walking,7
CA,Santa Clara,San Jose,Almaden Winery,1673,Beautiful,8
CA,Santa Clara,San Jose,Almaden Winery,1673,Community,9
CA,Santa Clara,San Jose,Almaden-Blossomhill,200872,Dog Friendly,0
CA,Santa Clara,San Jose,Almaden-Blossomhill,200872,Beautiful,1
CA,Santa Clara,San Jose,Almaden-Blossomhill,200872,Food,2
CA,Santa Clara,San Jose,Almaden-Blossomhill,200872,Restaurants,3
CA,Santa Clara,San Jose,Almaden-Blossomhill,200872,Clean,4
CA,Santa Clara,San Jose,Almaden-Blossomhill,200872,Friendly,5
CA,Santa Clara,San Jose,Almaden-Blossomhill,200872,Peaceful,6
CA,Santa Clara,San Jose,Almaden-Blossomhill,200872,Pleasant,7
CA,Santa Clara,San Jose,Almaden-Blossomhill,200872,Quiet,8
CA,Santa Clara,San Jose,Almaden-Blossomhill,200872,Convenient,9
CA,Santa Clara,Los Altos,Almond-Edith-Jardin,154092,Peaceful,0
CA,Santa Clara,Los Altos,Almond-Edith-Jardin,154092,Safe,1
CA,Santa Clara,Los Altos,Almond-Edith-Jardin,154092,Family Friendly,2
CA,Santa Clara,Los Altos,Almond-Edith-Jardin,154092,Quiet,3
CA,Santa Clara,Los Altos,Almond-Edith-Jardin,154092,Walkability,4
CA,Santa Clara,Los Altos,Almond-Edith-Jardin,154092,Clean,5
CA,Santa Clara,Los Altos,Almond-Edith-Jardin,154092,Friendly,6
CA,Santa Clara,Los Altos,Almond-Edith-Jardin,154092,Welcoming,7
CA,Santa Clara,Los Altos,Almond-Edith-Jardin,154092,Atmosphere,8
CA,Santa Clara,Los Altos,Almond-Edith-Jardin,154092,Weather,9
CA,Santa Clara,Santa Clara,Alta Mira,223827,Quiet,0
CA,Santa Clara,Santa Clara,Alta Mira,223827,Walkability,1
CA,Santa Clara,Santa Clara,Alta Mira,223827,Freeway Access,2
CA,Santa Clara,Santa Clara,Alta Mira,223827,Peaceful,3
CA,Santa Clara,Santa Clara,Alta Mira,223827,Convenient,4
CA,Santa Clara,Santa Clara,Alta Mira,223827,Safe,5
CA,Santa Clara,Santa Clara,Alta Mira,223827,Well Maintained,6
CA,Santa Clara,Santa Clara,Alta Mira,223827,Family Friendly,7
CA,Santa Clara,Santa Clara,Alta Mira,223827,Friendly,8
CA,Santa Clara,Santa Clara,Alta Mira,223827,Location,9
CA,Santa Clara,Palo Alto,Alta Torre,308205,Clean,0
CA,Santa Clara,Palo Alto,Alta Torre,308205,Downtown,1
CA,Santa Clara,Palo Alto,Alta Torre,308205,Gated,2
CA,Santa Clara,Palo Alto,Alta Torre,308205,Location,3
CA,Santa Clara,Palo Alto,Alta Torre,308205,Peaceful,4
CA,Santa Clara,Palo Alto,Alta Torre,308205,Safe,5
CA,Santa Clara,Los Gatos,Alta Vista,151331,Family Friendly,0
CA,Santa Clara,Los Gatos,Alta Vista,151331,Beautiful,1
CA,Santa Clara,Los Gatos,Alta Vista,151331,Neighbors,2
CA,Santa Clara,Los Gatos,Alta Vista,151331,Peaceful,3
CA,Santa Clara,Los Gatos,Alta Vista,151331,Friendly,4
CA,Santa Clara,Los Gatos,Alta Vista,151331,Clean,5
CA,Santa Clara,Los Gatos,Alta Vista,151331,Community,6
CA,Santa Clara,Los Gatos,Alta Vista,151331,Schools,7
CA,Santa Clara,Los Gatos,Alta Vista,151331,Safe,8
CA,Santa Clara,Los Gatos,Alta Vista,151331,Kids,9
CA,Santa Clara,Palo Alto,Altaire,235056,Family Friendly,0
CA,Santa Clara,Palo Alto,Altaire,235056,Safe,1
CA,Santa Clara,Palo Alto,Altaire,235056,Convenient,2
CA,Santa Clara,Palo Alto,Altaire,235056,Kids,3
CA,Santa Clara,Palo Alto,Altaire,235056,Beautiful,4
CA,Santa Clara,Palo Alto,Altaire,235056,Community,5
CA,Santa Clara,Palo Alto,Altaire,235056,Dog Friendly,6
CA,Santa Clara,Palo Alto,Altaire,235056,Gated,7
CA,Santa Clara,Palo Alto,Altaire,235056,Location,8
CA,Santa Clara,Palo Alto,Altaire,235056,Peaceful,9
CA,Santa Clara,San Jose,Alvin/Burdette,169900,Community,0
CA,Santa Clara,San Jose,Alvin/Burdette,169900,Diversity,1
CA,Santa Clara,San Jose,Alvin/Burdette,169900,Friendly,2
CA,Santa Clara,San Jose,Alvin/Burdette,169900,Pool Cervice,3
CA,Santa Clara,San Jose,Alviso,170094,Historic,0
CA,Santa Clara,San Jose,Alviso,170094,Peaceful,1
CA,Santa Clara,San Jose,Alviso,170094,Charm,2
CA,Santa Clara,San Jose,Alviso,170094,Different,3
CA,Santa Clara,San Jose,Alviso,170094,Bay,4
CA,Santa Clara,San Jose,Alviso,170094,Beautiful,5
CA,Santa Clara,San Jose,Alviso,170094,Location,6
CA,Santa Clara,San Jose,Alviso,170094,Nature,7
CA,Santa Clara,San Jose,Alviso,170094,Quiet,8
CA,Santa Clara,San Jose,Alviso,170094,Small,9
CA,Santa Clara,Mountain View,Americana,260479,Family Friendly,0
CA,Santa Clara,Mountain View,Americana,260479,Open,1
CA,Santa Clara,Mountain View,Americana,260479,Peaceful,2
CA,Santa Clara,Mountain View,Americana,260479,Food,3
CA,Santa Clara,Mountain View,Americana,260479,Friendly,4
CA,Santa Clara,Mountain View,Americana,260479,Restaurants,5
CA,Santa Clara,Mountain View,Americana,260479,Atmosphere,6
CA,Santa Clara,Mountain View,Americana,260479,Clean,7
CA,Santa Clara,Mountain View,Americana,260479,Dog Friendly,8
CA,Santa Clara,Mountain View,Americana,260479,Downtown,9
CA,Santa Clara,San Jose,Anne Darling - Little Portugal North,169885,Walkability,0
CA,Santa Clara,San Jose,Anne Darling - Little Portugal North,169885,Downtown,1
CA,Santa Clara,San Jose,Anne Darling - Little Portugal North,169885,Family Friendly,2
CA,Santa Clara,San Jose,Anne Darling - Little Portugal North,169885,Neighbors,3
CA,Santa Clara,San Jose,Anne Darling - Little Portugal North,169885,Proximity,4
CA,Santa Clara,San Jose,Anne Darling - Little Portugal North,169885,Quiet,5
CA,Santa Clara,San Jose,Anne Darling - Little Portugal North,169885,Atmosphere,6
CA,Santa Clara,San Jose,Anne Darling - Little Portugal North,169885,Beautiful,7
CA,Santa Clara,San Jose,Anne Darling - Little Portugal North,169885,Convenient,8
CA,Santa Clara,San Jose,Anne Darling - Little Portugal North,169885,Dog Friendly,9
CA,Santa Clara,Milpitas,Apex Centria,302238,Restaurants,0
CA,Santa Clara,Milpitas,Apex Centria,302238,Location,1
CA,Santa Clara,Milpitas,Apex Centria,302238,Shopping,2
CA,Santa Clara,Milpitas,Apex Centria,302238,Friendly,3
CA,Santa Clara,Milpitas,Apex Centria,302238,Atmosphere,4
CA,Santa Clara,Milpitas,Apex Centria,302238,Convenient,5
CA,Santa Clara,Milpitas,Apex Centria,302238,Diversity,6
CA,Santa Clara,Milpitas,Apex Centria,302238,Welcoming,7
CA,Santa Clara,Milpitas,Apex Centria,302238,Bay,8
CA,Santa Clara,Milpitas,Apex Centria,302238,Community,9
CA,Santa Clara,Cupertino,Apple HQ,313539,,0
CA,Santa Clara,Campbell,Apricot Avenue,192700,Restaurants,0
CA,Santa Clara,Campbell,Apricot Avenue,192700,Location,1
CA,Santa Clara,Campbell,Apricot Avenue,192700,Walking,2
CA,Santa Clara,Campbell,Apricot Avenue,192700,Clean,3
CA,Santa Clara,Campbell,Apricot Avenue,192700,Community,4
CA,Santa Clara,Campbell,Apricot Avenue,192700,Downtown,5
CA,Santa Clara,Campbell,Apricot Avenue,192700,Food,6
CA,Santa Clara,Campbell,Apricot Avenue,192700,Friendly,7
CA,Santa Clara,Campbell,Apricot Avenue,192700,Parks,8
CA,Santa Clara,Campbell,Apricot Avenue,192700,Walkability,9
CA,Santa Clara,San Jose,Apts,438992,Atmosphere,0
CA,Santa Clara,San Jose,Apts,438992,Family Friendly,1
CA,Santa Clara,San Jose,Apts,438992,Freeway Access,2
CA,Santa Clara,San Jose,Apts,438992,Hills,3
CA,Santa Clara,San Jose,Apts,438992,Well Maintained,4
CA,Santa Clara,San Jose,Apts,438992,Birds,5
CA,Santa Clara,San Jose,Apts,438992,Charm,6
CA,Santa Clara,San Jose,Apts,438992,Clean,7
CA,Santa Clara,San Jose,Apts,438992,Convenient,8
CA,Santa Clara,San Jose,Apts,438992,Diversity,9
CA,Santa Clara,San Jose,Arbuckle,170247,Events,0
CA,Santa Clara,San Jose,Arbuckle,170247,Food,1
CA,Santa Clara,San Jose,Arbuckle,170247,Community,2
CA,Santa Clara,San Jose,Arbuckle,170247,Dog Friendly,3
CA,Santa Clara,San Jose,Arbuckle,170247,Family Friendly,4
CA,Santa Clara,San Jose,Arbuckle,170247,Freeway Access,5
CA,Santa Clara,San Jose,Arbuckle,170247,Schools,6
CA,Santa Clara,San Jose,Arbuckle,170247,Walking,7
CA,Santa Clara,San Jose,Arbuckle,170247,Diversity,8
CA,Santa Clara,San Jose,Arbuckle,170247,Friendly,9
CA,Santa Clara,San Jose,Archer - North 4th,261875,Food,0
CA,Santa Clara,San Jose,Archer - North 4th,261875,Friendly,1
CA,Santa Clara,San Jose,Archer - North 4th,261875,Clean,2
CA,Santa Clara,San Jose,Archer - North 4th,261875,Community,3
CA,Santa Clara,San Jose,Archer - North 4th,261875,Downtown,4
CA,Santa Clara,San Jose,Archer - North 4th,261875,Events,5
CA,Santa Clara,San Jose,Archer - North 4th,261875,Family Friendly,6
CA,Santa Clara,San Jose,Archer - North 4th,261875,Neighbors,7
CA,Santa Clara,San Jose,Archer - North 4th,261875,Transportation,8
CA,Santa Clara,San Jose,Archer - North 4th,261875,Weather,9
CA,Santa Clara,San Jose,Archstone Willow Glen,231641,Quiet,0
CA,Santa Clara,San Jose,Archstone Willow Glen,231641,Safe,1
CA,Santa Clara,San Jose,Archstone Willow Glen,231641,Clean,2
CA,Santa Clara,San Jose,Archstone Willow Glen,231641,Convenient,3
CA,Santa Clara,San Jose,Archstone Willow Glen,231641,Family Friendly,4
CA,Santa Clara,San Jose,Archstone Willow Glen,231641,Parks,5
CA,Santa Clara,San Jose,Archstone Willow Glen,231641,Proximity,6
CA,Santa Clara,San Jose,Archstone Willow Glen,231641,Quaint,7
CA,Santa Clara,San Jose,Archstone Willow Glen,231641,Community,8
CA,Santa Clara,San Jose,Archstone Willow Glen,231641,Diversity,9
CA,Santa Clara,Los Altos Hills,Aric Weston-Zone 32,164483,Beautiful,0
CA,Santa Clara,Los Altos Hills,Aric Weston-Zone 32,164483,Peaceful,1
CA,Santa Clara,Los Altos Hills,Aric Weston-Zone 32,164483,Hiking,2
CA,Santa Clara,Los Altos Hills,Aric Weston-Zone 32,164483,Privacy,3
CA,Santa Clara,Los Altos Hills,Aric Weston-Zone 32,164483,Atmosphere,4
CA,Santa Clara,Los Altos Hills,Aric Weston-Zone 32,164483,Clean,5
CA,Santa Clara,Los Altos Hills,Aric Weston-Zone 32,164483,Family Friendly,6
CA,Santa Clara,Los Altos Hills,Aric Weston-Zone 32,164483,Freeway Access,7
CA,Santa Clara,Los Altos Hills,Aric Weston-Zone 32,164483,Quiet,8
CA,Santa Clara,Los Altos Hills,Aric Weston-Zone 32,164483,Restaurants,9
CA,Santa Clara,Saratoga,Arroyo De Arguello,182916,Peaceful,0
CA,Santa Clara,Saratoga,Arroyo De Arguello,182916,Safe,1
CA,Santa Clara,Saratoga,Arroyo De Arguello,182916,Beautiful,2
CA,Santa Clara,Saratoga,Arroyo De Arguello,182916,Family Friendly,3
CA,Santa Clara,Saratoga,Arroyo De Arguello,182916,Quiet,4
CA,Santa Clara,Saratoga,Arroyo De Arguello,182916,Friendly,5
CA,Santa Clara,Saratoga,Arroyo De Arguello,182916,Neighbors,6
CA,Santa Clara,Saratoga,Arroyo De Arguello,182916,Walkability,7
CA,Santa Clara,Saratoga,Arroyo De Arguello,182916,Weather,8
CA,Santa Clara,Saratoga,Arroyo De Arguello,182916,Atmosphere,9
CA,Santa Clara,Los Gatos,Arroyo Rinconada,323496,Clean,0
CA,Santa Clara,Los Gatos,Arroyo Rinconada,323496,Quiet,1
CA,Santa Clara,Los Gatos,Arroyo Rinconada,323496,Peaceful,2
CA,Santa Clara,Los Gatos,Arroyo Rinconada,323496,Creek,3
CA,Santa Clara,Los Gatos,Arroyo Rinconada,323496,Nature,4
CA,Santa Clara,Los Gatos,Arroyo Rinconada,323496,Neighbors,5
CA,Santa Clara,Los Gatos,Arroyo Rinconada,323496,Safe,6
CA,Santa Clara,Los Gatos,Arroyo Rinconada,323496,Beautiful,7
CA,Santa Clara,Los Gatos,Arroyo Rinconada,323496,Friendly,8
CA,Santa Clara,Los Gatos,Arroyo Rinconada,323496,Pleasant,9
CA,Santa Clara,San Jose,Ascent,440775,Beautiful,0
CA,Santa Clara,San Jose,Ascent,440775,Welcoming,1
CA,Santa Clara,San Jose,Ascent,440775,Clean,2
CA,Santa Clara,San Jose,Ascent,440775,Community,3
CA,Santa Clara,San Jose,Ascent,440775,Dog Friendly,4
CA,Santa Clara,San Jose,Ascent,440775,Family Friendly,5
CA,Santa Clara,San Jose,Ascent,440775,Food,6
CA,Santa Clara,San Jose,Ascent,440775,Freeway Access,7
CA,Santa Clara,San Jose,Ascent,440775,Neighbors,8
CA,Santa Clara,San Jose,Ascent,440775,Parks,9
CA,Santa Clara,San Jose,Autumnvale,127407,Peaceful,0
CA,Santa Clara,San Jose,Autumnvale,127407,Shopping,1
CA,Santa Clara,San Jose,Autumnvale,127407,Location,2
CA,Santa Clara,San Jose,Autumnvale,127407,Neighbors,3
CA,Santa Clara,San Jose,Autumnvale,127407,Parks,4
CA,Santa Clara,San Jose,Autumnvale,127407,Proximity,5
CA,Santa Clara,San Jose,Autumnvale,127407,Schools,6
CA,Santa Clara,San Jose,Autumnvale,127407,Transportation,7
CA,Santa Clara,San Jose,Autumnvale,127407,Weather,8
CA,Santa Clara,San Jose,Autumnvale,127407,Clean,9
CA,Santa Clara,Campbell,Avalon,182482,Family Friendly,0
CA,Santa Clara,Campbell,Avalon,182482,Food,1
CA,Santa Clara,Campbell,Avalon,182482,Friendly,2
CA,Santa Clara,Campbell,Avalon,182482,Peaceful,3
CA,Santa Clara,Campbell,Avalon,182482,Welcoming,4
CA,Santa Clara,Campbell,Avalon,182482,Dog Friendly,5
CA,Santa Clara,Campbell,Avalon,182482,Events,6
CA,Santa Clara,Campbell,Avalon,182482,Beautiful,7
CA,Santa Clara,Campbell,Avalon,182482,Clean,8
CA,Santa Clara,Campbell,Avalon,182482,Downtown,9
CA,Santa Clara,Milpitas,Avalon Heights South,239166,Clean,0
CA,Santa Clara,Milpitas,Avalon Heights South,239166,Dog Friendly,1
CA,Santa Clara,Milpitas,Avalon Heights South,239166,Peaceful,2
CA,Santa Clara,Milpitas,Avalon Heights South,239166,Beautiful,3
CA,Santa Clara,Milpitas,Avalon Heights South,239166,Family Friendly,4
CA,Santa Clara,Milpitas,Avalon Heights South,239166,Hills,5
CA,Santa Clara,Milpitas,Avalon Heights South,239166,Nature,6
CA,Santa Clara,Milpitas,Avalon Heights South,239166,Quiet,7
CA,Santa Clara,Milpitas,Avalon Heights South,239166,Safe,8
CA,Santa Clara,Milpitas,Avalon Heights South,239166,Well Maintained,9
CA,Santa Clara,Sunnyvale,Avalon Silicon Valley,216527,Family Friendly,0
CA,Santa Clara,Sunnyvale,Avalon Silicon Valley,216527,Friendly,1
CA,Santa Clara,Sunnyvale,Avalon Silicon Valley,216527,Nature,2
CA,Santa Clara,Sunnyvale,Avalon Silicon Valley,216527,Nice,3
CA,Santa Clara,Sunnyvale,Avalon Silicon Valley,216527,Quiet,4
CA,Santa Clara,Sunnyvale,Avalon Silicon Valley,216527,Welcoming,5
CA,Santa Clara,Sunnyvale,Avalon Silicon Valley,216527,Atmosphere,6
CA,Santa Clara,Sunnyvale,Avalon Silicon Valley,216527,Beautiful,7
CA,Santa Clara,Sunnyvale,Avalon Silicon Valley,216527,Charm,8
CA,Santa Clara,Sunnyvale,Avalon Silicon Valley,216527,Clean,9
CA,Santa Clara,San Jose,Avana Skyway,322348,Dog Friendly,0
CA,Santa Clara,San Jose,Avana Skyway,322348,Friendly,1
CA,Santa Clara,San Jose,Avana Skyway,322348,Clean,2
CA,Santa Clara,San Jose,Avana Skyway,322348,Family Friendly,3
CA,Santa Clara,San Jose,Avana Skyway,322348,Neighbors,4
CA,Santa Clara,San Jose,Avana Skyway,322348,Walking,5
CA,Santa Clara,San Jose,Avana Skyway,322348,Atmosphere,6
CA,Santa Clara,San Jose,Avana Skyway,322348,Community,7
